name,meal_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,category,n_observations,source,food_id,protein_density,fiber_density,protein_frac,carb_frac,fat_frac
Acai Bowl (1 serving),breakfast,350.0,5.0,60.0,12.0,10.0,30.0,40.0,0.0,Meal/Fruit,1,Kaggle Daily Food & Nutrition,acai_bowl_1_serving__breakfast,1.4285714285714286,2.857142857142857,0.05434782608695652,0.6521739130434783,0.29347826086956524
Almond Milk (Unsweetened 1 cup),breakfast,30.0,1.0,1.0,2.5,1.0,0.0,160.0,0.0,Beverage/Dairy-Alt,1,Kaggle Daily Food & Nutrition,almond_milk_unsweetened_1_cup__breakfast,3.3333333333333335,3.3333333333333335,0.13114754098360656,0.13114754098360656,0.7377049180327869
Avocado (1/2 fruit),breakfast,160.0,2.0,8.5,14.7,6.7,0.7,7.0,0.0,Fruit,1,Kaggle Daily Food & Nutrition,avocado_1_2_fruit__breakfast,1.25,4.1875,0.04589787722317843,0.19506597819850835,0.7590361445783133
Avocado Toast (1 slice),breakfast,260.0,7.0,28.0,15.0,10.0,1.0,350.0,0.0,Meal/Vegetarian,1,Kaggle Daily Food & Nutrition,avocado_toast_1_slice__breakfast,2.6923076923076925,3.8461538461538463,0.10181818181818182,0.4072727272727273,0.4909090909090909
Bacon (2 slices cooked),breakfast,86.0,6.0,0.2,6.8,0.0,0.1,330.0,18.0,Protein/Meat,2,Kaggle Daily Food & Nutrition,bacon_2_slices_cooked__breakfast,6.976744186046512,0.0,0.27906976744186046,0.009302325581395349,0.7116279069767442
Bagel (plain),breakfast,270.0,11.0,55.0,1.5,2.0,5.0,430.0,0.0,Grain,1,Kaggle Daily Food & Nutrition,bagel_plain__breakfast,4.074074074074074,0.7407407407407408,0.15855855855855855,0.7927927927927928,0.04864864864864865
Banana,breakfast,105.0,1.3,27.0,0.4,3.1,14.0,1.0,0.0,Fruit,1,Kaggle Daily Food & Nutrition,banana__breakfast,1.2380952380952381,2.9523809523809526,0.044520547945205484,0.9246575342465754,0.03082191780821918
Biscuits and Gravy (1 serving),breakfast,480.0,10.0,45.0,28.0,2.0,3.0,1100.0,35.0,Meal/Processed,1,Kaggle Daily Food & Nutrition,biscuits_and_gravy_1_serving__breakfast,2.083333333333333,0.4166666666666667,0.0847457627118644,0.3813559322033898,0.5338983050847458
Blueberries (1/2 cup),breakfast,42.0,0.5,11.0,0.2,1.8,7.0,1.0,0.0,Fruit,1,Kaggle Daily Food & Nutrition,blueberries_1_2_cup__breakfast,1.1904761904761905,4.285714285714286,0.041841004184100423,0.9205020920502093,0.03765690376569038
Bread with Dhal Curry,breakfast,330.0,12.0,52.0,8.0,6.0,3.0,480.0,0.0,Sri Lankan - Bread & Curry,1,"Curated regional (Sri Lankan, per serving)",bread_with_dhal_curry__breakfast,3.6363636363636362,1.8181818181818181,0.14634146341463414,0.6341463414634146,0.21951219512195122
