age,gender,weight_kg,height_m,max_bpm,avg_bpm,resting_bpm,session_duration_h,calories_burned,workout_type,fat_percentage,water_intake_l,workout_frequency,experience_level,bmi,height_cm,bmi_supplied,fitness_goal,body_fat_source,body_fat_pct,bmr,lean_body_mass_kg,activity_level,activity_multiplier,tdee,calorie_factor,protein_coefficient,calorie_target_clean,protein_target_clean,calorie_target,protein_target,bmi_category
56,Male,88.3,1.71,180,157,60,1.69,1313.0,Yoga,12.6,3.5,4,3,30.197325672856607,171.0,30.2,muscle_gain,measured,12.6,2036.96272,77.1742,active,1.75,3564.68476,1.1326149631350455,2.147878199642159,4037.415298035459,189.65764502840264,4187.4,190.6,obese
46,Female,74.9,1.53,179,151,66,1.3,883.0,HIIT,33.9,2.1,4,2,31.99624076210005,153.0,32.0,fat_loss,measured,33.9,1439.3922400000001,49.508900000000004,active,1.725,2482.9516140000005,0.7821887661819499,2.3525085547106714,1942.1368594441415,176.20289074782931,1981.9,176.6,obese
32,Female,68.1,1.66,167,122,54,1.11,677.0,Cardio,33.4,2.3,4,2,24.71331107562781,166.0,24.71,muscle_gain,measured,33.4,1349.65936,45.3546,moderate,1.55,2091.972008,1.1010014793437108,1.869540447740713,2303.2642755536335,127.31570449114254,2322.4,128.8,normal
25,Male,53.2,1.7,190,164,56,0.59,532.0,Strength,28.8,2.1,3,1,18.4083044982699,170.0,18.41,maintenance,measured,28.8,1188.17344,37.8784,light,1.35,1604.0341440000002,1.020352754950662,1.53192507633775,1636.680657865327,81.4984140611683,1591.3,81.8,underweight
38,Male,46.1,1.79,188,158,68,0.64,556.0,Strength,29.2,2.8,3,1,14.387815611248088,179.0,14.39,fat_loss,measured,29.2,1074.9980799999998,32.638799999999996,light,1.35,1451.247408,0.8093571523794029,2.354734099997161,1200.0,108.55324200986912,1227.4,110.8,underweight
56,Female,58.0,1.68,168,156,74,1.59,1116.0,HIIT,15.5,2.7,5,3,20.549886621315196,168.0,20.55,muscle_gain,measured,15.5,1428.616,49.01,very_active,1.9,2714.3704,1.1112352615101813,2.0464770275092428,3016.304101279495,118.69566759553608,2947.2,120.5,normal
36,Male,70.3,1.72,174,169,73,1.49,1385.0,Cardio,21.3,2.3,3,2,23.762844780962684,172.0,23.76,muscle_gain,measured,21.3,1565.04376,55.3261,moderate,1.55,2425.817828,1.1375896135909307,1.8428758054913394,2759.585165596511,129.55416912604116,2804.4,129.5,normal
40,Female,69.7,1.51,189,141,64,1.27,895.0,Cardio,30.6,1.9,3,2,30.568834700232447,151.0,30.57,fat_loss,measured,30.6,1414.83088,48.3718,moderate,1.55,2192.987864,0.7931846098739187,2.1732210361229836,1739.4442233650784,151.47350621777196,1749.5,155.8,obese
28,Male,121.7,1.94,185,127,52,1.03,719.0,Strength,28.9,2.6,4,2,32.33606121798278,194.0,32.34,fat_loss,measured,28.9,2239.0199200000006,86.52870000000001,moderate,1.55,3470.480876000001,0.8009988954858134,2.278736658358837,2779.851348480639,277.32225132227046,2797.8,292.2,obese
28,Male,101.8,1.84,169,136,64,1.08,808.0,Cardio,29.7,2.7,3,1,30.06852551984877,184.0,30.07,fat_loss,measured,29.7,1915.8126400000003,71.56540000000001,moderate,1.5250000000000001,2921.6142760000007,0.8025515693500554,2.1856112748701397,2344.7461222393267,222.49522778178022,2278.1,220.2,obese
41,Male,120.8,1.67,188,146,54,0.82,593.0,HIIT,20.5,3.0,2,1,43.31456846785471,167.0,43.31,fat_loss,measured,20.5,2444.3776000000003,96.036,light,1.35,3299.9097600000005,0.8277657289610618,2.325117839804654,2731.552207992123,280.87423504840217,2688.8,278.9,obese
53,Male,51.7,1.7,175,152,72,1.15,865.0,HIIT,23.6,3.5,3,2,17.889273356401386,170.0,17.89,muscle_gain,measured,23.6,1223.1740800000002,39.4988,moderate,1.55,1895.9198240000005,1.144595083459152,1.9859022957951908,2170.0605091831417,102.67114869261137,2153.9,101.7,underweight
57,Male,112.5,1.61,195,165,61,1.24,1013.0,Cardio,22.1,2.7,3,2,43.40110335249411,161.0,43.4,fat_loss,measured,22.1,2262.9700000000003,87.6375,moderate,1.55,3507.6035000000006,0.7939316512759472,2.2815522807806445,2784.7974387762924,256.6746315878225,2833.8,246.8,obese
41,Male,94.5,2.0,179,136,69,1.18,794.0,HIIT,27.6,3.7,3,1,23.625,200.0,23.62,maintenance,measured,27.6,1847.8288,68.41799999999999,moderate,1.5250000000000001,2817.93892,0.9867120578667625,1.7044951349986912,2780.4943106960422,161.07479025737632,2748.6,163.2,normal
20,Male,117.7,1.81,196,161,54,1.35,1195.0,Yoga,26.4,3.3,3,2,35.926864259332746,181.0,35.93,fat_loss,measured,26.4,2241.1475200000004,86.6272,moderate,1.55,3473.778656000001,0.8010999787423632,2.156263700642956,2782.8440074772757,253.79223756567595,2659.2,248.8,obese
39,Female,42.5,1.75,181,131,52,1.13,740.0,Strength,26.2,2.1,2,1,13.877551020408163,175.0,13.88,muscle_gain,measured,26.2,1047.484,31.365,light,1.35,1414.1034,1.1002038862492995,1.9025019685946165,1555.8020562383476,80.85633366527121,1574.7,80.2,underweight
19,Female,64.0,1.53,166,167,58,1.33,1111.0,HIIT,29.8,2.3,3,2,27.339911999658252,153.0,27.34,fat_loss,measured,29.8,1340.4448,44.928,moderate,1.55,2077.68944,0.7954461883872563,2.136557712283261,1652.6901457004533,136.7396935861287,1657.9,131.6,overweight
41,Female,43.8,1.77,182,165,58,1.19,884.0,Cardio,31.9,1.6,3,1,13.98065689935842,177.0,13.98,maintenance,measured,31.9,1014.28048,29.8278,moderate,1.5250000000000001,1546.7777320000002,1.027105240987817,1.5749954868268718,1588.7035151804491,68.98480232301698,1591.7,66.2,underweight
47,Female,66.8,1.75,199,146,56,1.13,742.0,Strength,32.8,2.5,3,2,21.812244897959182,175.0,21.81,muscle_gain,measured,32.8,1339.6153600000002,44.8896,moderate,1.55,2076.4038080000005,1.141910238913424,2.1991986459176442,2371.066768474024,146.90646954729863,2364.6,140.9,normal
55,Female,75.2,1.67,188,167,51,1.37,1030.0,HIIT,25.2,2.2,2,1,26.964035999856577,167.0,26.96,maintenance,measured,25.2,1584.9913600000002,56.2496,light,1.35,2139.7383360000003,1.0021076954258563,1.6891709387798934,2144.248252703317,127.02565459624799,2061.0,126.8,overweight
19,Male,89.0,1.77,175,127,72,1.5,1048.0,Strength,28.9,3.7,4,2,28.40818411056848,177.0,28.41,fat_loss,measured,28.9,1736.8264000000001,63.279,active,1.725,2996.0255400000005,0.8042744272978744,2.3369294248458585,2409.626725353305,207.9867188112814,2357.9,219.9,overweight
38,Male,71.9,1.77,197,142,72,1.12,875.0,Cardio,25.7,3.1,2,1,22.949982444380606,177.0,22.95,fat_loss,measured,25.7,1523.9087200000001,53.4217,light,1.35,2057.276772,0.8272563340075394,2.0416047928135477,1701.8952404435845,146.7913846032941,1694.6,147.7,normal
50,Female,71.0,1.68,187,161,70,1.17,848.0,Yoga,33.1,2.5,2,1,25.15589569160998,168.0,25.16,muscle_gain,measured,33.1,1395.9784000000002,47.499,light,1.35,1884.5708400000003,1.1296587093732082,2.188846379720188,2128.9218628367835,155.40809296013336,2177.9,154.9,overweight
29,Male,120.9,1.78,197,168,65,0.78,721.0,Yoga,28.1,3.4,2,1,38.158060850902665,178.0,38.16,fat_loss,measured,28.1,2247.62536,86.9271,light,1.35,3034.294236,0.8271433959284354,2.055511060549335,2509.7964386111175,248.5112872204146,2527.7,245.4,obese
39,Female,64.3,1.69,190,148,58,1.25,925.0,HIIT,26.9,1.9,4,2,22.51321732432338,169.0,22.51,muscle_gain,measured,26.9,1385.2712800000002,47.0033,active,1.725,2389.592958,1.149894087213706,1.8537375643377716,2747.77881325171,119.19532538691871,2762.1,119.1,normal
42,Female,63.7,1.71,173,169,62,1.42,1080.0,Yoga,26.1,1.8,3,2,21.784480694914677,171.0,21.78,maintenance,measured,26.1,1386.8048800000001,47.0743,moderate,1.55,2149.5475640000004,0.9720258792589418,1.6046594512101622,2089.415860906017,102.21680704208734,2221.6,101.3,normal
44,Male,65.2,1.8,192,139,68,0.73,502.0,HIIT,27.2,2.7,2,1,20.123456790123456,180.0,20.12,maintenance,measured,27.2,1395.2569600000002,47.4656,sedentary,1.2,1674.3083520000002,0.9771136361255408,1.6091621386093355,1635.989521818082,104.91737143732868,1650.4,107.9,normal
59,Male,53.9,1.75,168,135,69,1.48,989.0,Strength,21.6,2.8,4,2,17.599999999999998,175.0,17.6,fat_loss,measured,21.6,1282.7641600000002,42.257600000000004,active,1.725,2212.7681760000005,0.8180599418988423,2.0433690968127203,1810.1770054941678,110.13759431820561,1767.7,112.2,underweight
