feature,importance
weight_kg,0.7664062633796866
bmi,0.10522236947908149
fitness_goal_fat_loss,0.06291117638689565
fitness_goal_maintenance,0.04118649960128836
fitness_goal_muscle_gain,0.0063353823933285595
height_cm,0.004304373526933963
body_fat_pct,0.004076513127538494
session_duration_h,0.0029040170712703074
age,0.0021838173503653246
gender_Male,0.0015929021044558565
gender_Female,0.0014898910572264496
workout_frequency,0.0006771846235487628
activity_level,0.000360888435740704
experience_level,0.0003487214626394032
