fraction,n_samples,model,cv_mae_mean,cv_mae_std,folds
0.1,97,Linear Regression,124.57738616308157,11.313536149195066,4
0.1,97,Random Forest,229.5722055208339,35.70498670494491,4
0.2,194,Linear Regression,120.38335141902174,9.64895514005732,5
0.2,194,Random Forest,167.36751420377905,21.15179345866806,5
0.35,340,Linear Regression,118.93665568697625,9.710596354713362,5
0.35,340,Random Forest,144.91839117647083,6.4431712736594635,5
0.5,486,Linear Regression,118.19256379793384,7.305810072230697,5
0.5,486,Random Forest,124.63351873027568,9.060785673169972,5
0.7,681,Linear Regression,114.28304294655041,7.489116659489599,5
0.7,681,Random Forest,112.66145346446953,12.154204752161114,5
0.85,827,Linear Regression,111.9758194918099,7.597974097038747,5
0.85,827,Random Forest,100.76136434465131,7.673941273280212,5
1.0,973,Linear Regression,114.15393516490099,5.173873461514361,5
1.0,973,Random Forest,96.46110163626766,4.389917187035849,5
