fraction,n_samples,model,cv_mae_mean,cv_mae_std,folds
0.1,97,Linear Regression,9.687839025726342,0.8897593874403796,4
0.1,97,Random Forest,10.41451958333334,1.2003320066523069,4
0.2,194,Linear Regression,8.95321407061105,1.1326852557310487,5
0.2,194,Random Forest,10.278221558704463,1.1637386836200003,5
0.35,340,Linear Regression,8.820181332401857,0.7506458736855648,5
0.35,340,Random Forest,9.812394117647077,0.7150335128959121,5
0.5,486,Linear Regression,8.81494814839299,0.6706283532685072,5
0.5,486,Random Forest,9.653067094466644,1.016179853102631,5
0.7,681,Linear Regression,8.806012706689577,0.4637327388978904,5
0.7,681,Random Forest,9.135812805925285,0.6563556333320648,5
0.85,827,Linear Regression,8.821147927216796,0.25776821036791714,5
0.85,827,Random Forest,9.272766274187646,0.2819894491408418,5
1.0,973,Linear Regression,8.859417699900387,0.4235133391285385,5
1.0,973,Random Forest,8.865145181073208,0.5625697452134247,5
